19,"t","Honey: Released March 18, 2021, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
19,"t","Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2019"
19,"t","[Colonies which produced honey in more than one State were counted in each State]"
19,"h","","","","","","",""
19,"h","","Honey","Yield","","","Average","Value"
19,"h","State","producing","per","Production","Stocks","price per","of"
19,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
19,"h","","","","","","",""
19,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(dollars)","(1,000 dollars)"
19,"d","Alabama",7,42,294,44,3.38,994
19,"d","Arizona",23,46,1058,201,2.04,2158
19,"d","Arkansas",20,55,1100,176,1.65,1815
19,"d","California",335,48,16080,3216,1.60,25728
19,"d","Colorado",32,46,1472,500,2.34,3444
19,"d","Florida",205,45,9225,830,2.46,22694
19,"d","Georgia",102,33,3366,370,2.67,8987
19,"d","Hawaii",16,80,1280,51,1.30,1664
19,"d","Idaho",92,32,2944,677,1.62,4769
19,"d","Illinois",11,39,429,116,4.12,1767
19,"d","",,,,,,
19,"d","Indiana",9,55,495,188,3.78,1871
19,"d","Iowa",38,55,2090,1170,2.35,4912
19,"d","Kansas",7,79,553,171,2.35,1300
19,"d","Kentucky",6,41,246,44,4.66,1146
19,"d","Louisiana",54,72,3888,428,2.15,8359
19,"d","Maine",15,35,525,110,3.28,1722
19,"d","Michigan",94,50,4700,1363,2.56,12032
19,"d","Minnesota",118,59,6962,3063,1.83,12740
19,"d","Mississippi",22,80,1760,141,1.87,3291
19,"d","Missouri",10,43,430,73,3.35,1441
19,"d","",,,,,,
19,"d","Montana",173,86,14878,5802,1.49,22168
19,"d","Nebraska",39,52,2028,223,1.44,2920
19,"d","New Jersey",15,28,420,155,4.68,1966
19,"d","New York",59,58,3422,1027,4.00,13688
19,"d","North Carolina",14,42,588,118,4.11,2417
19,"d","North Dakota",520,65,33800,6422,1.43,48334
19,"d","Ohio",15,67,1005,442,3.46,3477
19,"d","Oregon",87,32,2784,1141,2.50,6960
