27,"t","Honey: Released March 18, 2021, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
27,"t","Income and Expenditures – United States: 2019 and 2020"
27,"t","[Represents income and expenditures on the total number of colonies, regardless of whether honey was harvested]"
27,"h","","",""
27,"h","Item","2019","2020"
27,"h","","",""
27,"u","","(1,000 dollars)","(1,000 dollars)"
27,"d","Income",,
27,"d","Pollination income",309630,254282
27,"d","Other income 1/",77677,55773
27,"d","",,
27,"d","Expenditures",,
27,"d","Varroa control and treatment",16366,11706
27,"d","Other colony issues 2/",4535,3166
27,"d","Feed 3/",58010,40930
27,"d","Foundation",7887,6567
27,"d","Hives/woodenware",11939,11153
27,"c",""
27,"f","1/ Includes sales of queens, queen cells, beeswax, propolis, etc."
27,"f","2/ Includes Nosema, tracheal mites, foulbrood, paralysis, Kashmir, cloudy wing, etc."
27,"f","3/ Includes syrup, sugar water, honey, pollen patties, and other feeds."
