18,"t","Honey: Released March 19, 2020, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
18,"t","Honey Price by Color Class – United States: 2018 and 2019"
18,"h","","","","","","",""
18,"h","","Co-op and private","Co-op and private","Retail","Retail","All","All"
18,"h","Color class","","","","","",""
18,"h","","2018","2019","2018","2019","2018","2019"
18,"h","","","","","","",""
18,"u","","(dollars per pound)","(dollars per pound)","(dollars per pound)","(dollars per pound)","(dollars per pound)","(dollars per pound)"
18,"d","Water white, extra white, white",1.98,1.61,3.63,3.99,2.01,1.67
18,"d","",,,,,,
18,"d","Extra light amber",2.01,1.63,3.44,3.55,2.12,1.85
18,"d","",,,,,,
18,"d","Light amber, amber, dark amber",2.10,1.93,4.89,5.63,2.51,2.54
18,"d","",,,,,,
18,"d","All other honey, area specialties",2.64,2.40,7.17,7.77,3.62,3.84
18,"d","",,,,,,
18,"d","All honey",2.03,1.70,4.38,4.85,2.21,1.97
18,"c",""
