27,"t","Honey: Released March 18, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
27,"t","Income and Expenditures – United States: 2020 and 2021"
27,"t","[Represents income and expenditures on the total number of colonies, regardless of whether honey was harvested]"
27,"h","","",""
27,"h","Item","2020","2021"
27,"h","","",""
27,"u","","(1,000 dollars)","(1,000 dollars)"
27,"d","Income",,
27,"d","Pollination income",254282,268590
27,"d","Other income 1/",55773,101688
27,"d","",,
27,"d","Expenditures",,
27,"d","Varroa control and treatment",11706,11565
27,"d","Other colony issues 2/",3166,3066
27,"d","Feed 3/",40930,42582
27,"d","Foundation",6567,7064
27,"d","Hives/woodenware",11153,9863
27,"c",""
27,"f","1/ Includes sales of queens, queen cells, beeswax, propolis, etc."
27,"f","2/ Includes Nosema, tracheal mites, foulbrood, paralysis, Kashmir, cloudy wing, etc."
27,"f","3/ Includes syrup, sugar water, honey, pollen patties, and other feeds."
